User,Review Year,Ratings,Review
Luis Miguel,2021,5," Excellent, fast and easy to use"
Jason,2021,5, Powerful Machine
Ethan V,2021,3, Sound System Connection Issues
Evan Monroe,2021,5, Worth the Effort to Buy
Kyle walter,2021,5, Great Console
Omar,2021,4," It came, how it looked,."
itsjayk,2020,5, 11/10 console of the generation!
Brendan Bartanen,2020,5, Next-gen truly feels next-gen
Sami,2020,5, Next Gen of gaming!
A. Bush,2021,5, Great gaming machine
H & N,2022,4, Pretty good
lc,2021,5, I just got lucky
Kris,2022,3, Maybe Just a Bad Unit
Zoey,2021,5, The True Next Gen Experience
Tyler Fitzgerald,2021,5, Greatest Console of the Decade
Noah Maples,2020,5, The next generation of gaming is here!
Shawn Tyner,2020,5, Playstation5☆☆☆☆☆
richard oh,2021,5, This is the greatest video game console of all time.
Clem from NOLA,2021,5, Worth it if you can get it
Joshua&Kayla,2020,5, Worth it!
j. user,2020,5, Fun.
Lou,2021,5, Worth buying
MM,2020,5, Get it!
Britney kimminau,2021,5, What more can you say? PS5 FTW!
Chaim,2020,5, Super fun! Needs better cooling though
chickenice,2021,4, good looking and convenient
Jesus,2021,5, This is truly next gen.
Jeff H.,2021,5," Great console, next gen gameplay is here!"
Robert,2021,5, Still great
GodIsGood,2021,5, Hoping everyone who wants a console can get one very soon!
Jordan W.,2021,5, Works Great! Definitely Worth The Money At Retail
Jack Pliskin,2021,5, Good Job Sony.
Anselmo Blyden,2021,4, Great console but with an issue
Prince Malcolm,2020,5, Great system but the hype was a little bit overkill. Don’t break your bank wait for it.
Bobby Lee,2021,5, Best Playstation Gen ever
Suhey,2021,5, 3 words… I LOVED IT!!!
Konrad Patrzalek,2021,4," This console is a beast, but not really any new next gen title."
A.W. Morton,2020,5, PS5 Delivers Exactly What It Promised
snapple,2020,5, Worth the Wait...but don't Sweat It.
CJ,2021,5, Great Upgrade
R.L,2021,5, Love it
Aimen,2021,5, Amazing modern day gaming standards
Alexa Salazar,2021,5," Fast, backwards compatible, games are beautiful"
Ryan C. Fishback,2021,5, Great Console
Kevin Grajeda,2022,5, I hate it.
H12,2020,5, The upgrade we needed
Diamonique Dyer,2021,5, Brand new ps5 perfect
Madara Uchiha,2021,5, ITS JUST AS I EXPECTED
TreQuan Chavis,2020,4, It real!!!
Nicholas Diaz,2021,4," Some early flaws, but generally great."
JLB5488,2021,5, Awesome Console (If you can get one)
Sarah,2020,5," Purchased on release day, dumb luck"
Jeremiah Steffens,2021,5, This console is awesome!
Andrea C,2021,5, PS5 to my door in 2 days
Kindle Customer,2020,4," Good console, decent ""PC"" type quality."
Jim W.,2021,5, Extended warranty
Clint Brown,2020,5, Love love love love love love love love love.
David,2021,5, Quiet and fast.
Jose Vargas,2021,5, Lives up to the hype
AvidBuyer,2021,4, Simply Amazing
Jertez Andrews,2022,5, Great Next Gen PS
stephanie,2022,5, good
Chosen1,2020,5," I’m back , it’s been a while since the PS1 but I’m loving the PS5"
Jannella,2021,5, Finally got one!!!!!!!
Deanna,2021,4, Great console when in stock
Bobby H,2021,5, You have to be quick and lucky!
James & Tina,2020,5, Too many lazy whiny reviewers
lisandro,2021,5, It’s not good it’s great
Shanice,2021,5, Worth every penny!
crystal,2020,5, 11yr old Over The Moon happy!
Bronson McBride,2021,5, Best console
Kenny,2020,5, PS5? Worth every penny!!!
DragonBloggers,2021,5, Love My PS5 - Need More PS5 Exclusive Games
Jaime Rodriguez,2020,5, I really love it and you will too.
Chaturanga Manchanayake,2021,5, Grateful
Pooky73,2021,5, This is Amazing!!
Jared Fite,2020,5, Next Gen is Here
tim mcclure,2021,4, Great Console but I don't like the UI
Tyler kiesshauer,2022,5, Amazing
broderic kartholl,2021,5, Spiderman/Steep/Riders Republic
Carlos Solis,2020,5, Greatest console of all time worth the wait !
Anonymous Gamer,2021,4, Unexpected Performance
Mo Q,2021,5, 🦅💯💯PS5 = Generation Changer
Eliah Samuel,2022,5, Best console
Connor,2021,5, Great Job Sony!
Amazon Customer,2021,5, They are great!
lea,2020,5, The PlayStation 5 is awesome
James Tagliavia,2021,5, Works best when laid on its side
brandon mclin,2021,5, Actually purchased at retail 500$
ShayShay,2020,5, Love
Antoine Brown,2021,4, The absolute best!!!
Marco A Morales,2021,5, It fell on to me from out of nowhere
nathan,2021,5, Great company very nice and respectful I’m glad I chose them!
Jen,2021,5, Best gaming console ever
John,2021,4, Amazing console but not enough games...yet.
SD Lonyer,2021,5, It's worth the wait. Ty Amazon best purchase ever.
Luke,2021,5, Awesome Console but buy at MSRP!
Steven G,2020,4, Solid Console but...
Al,2020,5, REAL Next Gen
Chris Kaiser,2021,4, Great purchase and price
Avishai Rostamian,2021,5, Super fast and Awesome!
deatharis,2020,5," Amazing service, and product"
Tish,2020,5, Play has no limits!
Jessie,2021,5, It was real
Ronald Anthony Bordoy,2020,5, Literally the best console ever made
Corey Dutter,2021,5, Awesome
Frank,2020,4, Almost dead
Travis Boatman,2021,5, One of the lucky ones
Jack,2021,5, Worth it!
alan,2021,4, Try hard
luis castro,2021,5, PS5 Review
mcgarto,2021,5, Worth it
Dwight,2021,5, Will Buy Another If Possible
Wayne Aung,2021,5, Amazing console!
Burton Yuk Que,2021,5, Great gaming console
Du$e Triumphant,2022,5, What can I say? 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️👌🏾👌🏾👌🏾💯💯💯
Mario Gallego,2021,5, Excellent service.
Ege Odabaşı,2021,5, Pc 5 no connection for conversation
Kurtis Pemberton,2020,5, PS5...The Future of gaming has arrived.
Tonya Morgan,2021,5, Works Great !!!
Martin G.,2021,5, Legit
good work,2021,5, Awesome console
Triston wright,2021,5, Ps5 Shipping and Review
Erica C.,2021,5," Arrived quick, but barely in one piece."
Kindle Customer,2021,1, Dissappointing type c usb not included
Bebop,2021,5, Have a good desk becuase this thing is heavy but is very large so yeah
Evan,2021,5, Love it!
J. Conrad,2021,5, As good as ice cream on a hot summer day…
Jon Kelley,2021,5, Awesome and Amazing.
Joyce,2020,5, Next - gen
Jason Wong,2021,4, Its alright
Amazon Customer,2021,5," fast, sleek, clean"
Trigga,2021,5, I got it!
b,2022,5, Nice doe
yuhzou gu,2021,5, Love it
Wade Wilson,2021,4, Is aight
Anthony,2020,5, PS5 is Next-Gen
Paul,2021,4, lack storage
Tom Racey,2021,4, Great except for controller
Iwa Kun,2021,5, Fast shipping/Best console in the business
Jamieson O'Marr,2021,5, Promising Start
Yusuf Kakar,2021,5, Perfect Console 10/10
Richard Holmes,2021,5, Next Gen at it's best
Anthony,2020,5, Great !!!
Amazon Customer,2021,5," worth the wait, as good as advertised"
dion,2020,5, THE Best gaming experience i have had
Chelsea Njoku,2021,4, Lagging problems
Jason Walther,2021,5, Playstation 5
E&K,2022,4, PS5 - Good not Great
Eric H,2021,5, Next Gen!
CarolTecGame,2021,5, Strong and Solid Console
Jay,2020,5, A true next gen experience!
Jean Paul Araya Meléndez,2021,5, Best PlayStation Console Ever!!!
Yareli Cruciani,2021,5," Super Fast, Sleek, Great Console!"
Anferny Wayne,2020,5, The Centerpiece
Arthur J.,2021,5, It’s a Ps5 it’s amazing
Justin,2022,5, Couldn’t believe I actually got it
DPark,2021,5, Lovely machine
Raymond Rivera,2020,5, Next Gen is Here!
Gregg,2021,5, LOVE IT!
Simi Castor,2022,5, Loved it
Adam Borja,2021,5, The PlayStation 5 is a beautiful console.
EJ,2021,5, Great System
Tyler,2020,4, Next Gen Baby
Amazon Customer,2021,5, You'll love it
Amazon Customer,2021,4," Overpriced, but worth the wait."
Anony Mous,2020,5, The Console Gaming Enthusiasts Love
Amazon Customer,2020,5, Next Gen is here!!
jake,2021,4, Good console
Adriel,2021,5, Bang for your buck...
Rafael,2021,5, Amazing. Totally worth the wait.
Cristian Garrett-Trejos,2021,5, Was very nervous
Khyla Moore,2021,5, It’s Real
Chris Green,2021,5," Get one, what are you waiting for"
Sean,2020,5, AMOUNT SOLD
Kindle Customer,2021,4, Worked Perfectly
Thomas,2021,5, Ready for next gen
Chrishenda Dawkins,2022,5, I Scored
Eric G.,2021,5, PS5 is a must have
Paco,2021,3, Storage lacking
Dat Smitty,2021,5, Great for playing games!
TenmaRezP1X,2021,5, Greatness is for those with a strong will and fast hands
justin campbell,2021,5, Notice
Amazon Customer,2021,5, WORTH EVERY PENNY.
rylan,2021,5, Love it
luis Miguel huesca,2021,5, The only true next gen console.
Amazon Customer,2022,5," Price, too expensive need to be sold at retail price ."
Zehbil,2021,5," Very sleek, fast, futuristic console."
Jeramey Erdman,2021,5, Finally!
Amazon Customer,2021,5, SO GLAD I WAS ABLE TO SECURE ONE AT COST.
robert,2021,5, The future of gaming is upon us !!!
Prince oberoi,2021,5, Finally able to get one here.
Lee Roy Brown,2021,5, Best in class
Johnson McKeney,2021,5, Worth every penny
KC,2020,5, Great Console!
WindFishTokes,2021,5, Awesome Christmas Gift
Dayo,2021,5, Next gen stuff right here!
J. Steele,2021,5, Arrived as promised in good condition
Nidah Nafees,2021,5, Amazing!
Alex Cormier,2020,5, Very good consol
Leonardo D.,2021,5, Buy this only for retail!
Pete,2021,5, Definitely next gen
Steven Puckitt,2021,5, Great console
Art,2021,5, So surprised to get a PS5 via the Treasure Truck
Amazon Customer,2020,5, Next gen is here!
julian,2021,5, amazon actually delivers
Hall's,2021,5, Love this!
Osmany Del Sol,2021,5," Great Console , hard to buy."
Love#me💖🖤💜,2021,5, Amazing Console
Millenia,2021,5, Nice Console
GreenGo,2021,5, This is Next-Gen
James,2020,4, Big Console Big Games
Ryan Peck,2021,5, Amazing. Really feels and looks next gen
Chris&Tasha,2020,5, Graphics are too notch!
Amazon Customer,2021,5, Worth The Struggle
Nick,2022,5, nice console
Monique,2021,5, Hard to find!
Robert Owens,2021,3, Super buggy even after almost whole year.
Bdbeep,2020,5, Super Happy With my Purchase!!
youtee,2021,4, worth it
Amirkia,2021,5, The best Gaming experience?? %2000
Mr. Regular Guy,2021,5, Don’t be jealous!
Michael Goodrich,2021,3, Playstation dropped the hard drive ball for sure
Anitha Kamaraj,2020,4, Great with small glitch of ps5 ps4 game downloads.
Jon,2020,5, PS5 Is 🔥🔥🔥
IP,2021,5, YesYesYes
Brandy R Cassidy,2021,5, Finally scored a PS5!!!
Dorette B.,2021,5, PS5
Atishay Narayanan,2021,5, Love this product
Sandhya,2021,5," Brand new, arrived in a timely manner"
Kyle dwight,2021,5, I was impressed
Altoh khadka,2021,5, BEST CONSOLE EVER thanks amazon
Ross Miller,2021,5, Very happy with my PS5
Jesus,2021,5, IT REAL
Richard C.,2020,5, NEXT-GEN IS HERE
Leonardo Gedler,2021,5, Great Console!
Kristina Szczech,2021,5, Price double but works great
Christian,2021,5, Excelente consola
Jorge Acosta,2021,5, Works good
Andy Mai,2021,5, Great console for a great price
M.J.,2020,5, THANK YOU AMAZON!
JARMON MOORE,2021,5, Best Purchase Ever.
Brian,2021,5, Great system Obviously!
Shelly Burris,2021,5, He loves his ps5
Amazon Customer,2021,5, Great console
Purchaser,2021,5, Nice upgrade from PS4
Nick,2022,5, not bad
Amazon Customer,2021,5, Overall great experience
Frank,2021,5, PS5 is awesome
Christian Hernandez,2021,5, I scored one
Sam Su,2021,5, Wow
Barry,2022,5, Wonderful console ps5
RSAC,2020,5," No major issues for know, plays ps4 games amazingly and Demons souls looks next gen"
Talesha R.,2021,5, Patience is key
Jeff,2020,5, Just got lucky!
Esaw Franco,2021,5, PS5 is dope!
cody ray holliday,2021,5, love it
Ali,2021,5, Beautiful console
Aaron,2021,5, PlayStation 5
David e,2020,5, Best console
Bryce Merrill,2021,5, It did arrive
Virginia,2021,5, Amazing
Amazon Customer,2021,5, Excellent console
Kenny Vargas,2021,5, Great graphics
Joel Velez,2021,5, Next gen it's here!!
Alfonso,2021,5," Fantastic , WOO HOO!"
Paula Arvedson,2021,5, Most reliable and quickest delivery
Ryan,2021,5, Best console out there!
Average Joe the consumer,2021,5, Great gift
anita k,2021,5, Got exactly what I expected.
Noel davis,2021,5, It landed
Midwest Boy,2021,5, Great Upgrade from Last Gen
Brian,2021,5, Excellent experience
Mageovet,2021,5, good buy a bit too early
Adam Kastmark,2021,5, Just as advertised.
Zia Khwaja,2021,4, Great Console
Bola,2020,5, Next gen graphics and non existent load times!
Salah N Abdallah,2021,5, Best Console yet
Faizan,2021,5, Fantastic console (if you can get the damn thing)
Dan,2021,5, The Controller Is a Game Changer!
Jessie Acuna,2020,5, Hubby loves it
Kevin E.,2021,5, Worth it.
Lance Wheeler,2021,5," Space limited, buy external HDD."
Derek P,2020,5, Impressive upgrade from PS4 Pro
TED the VIKING,2021,5, Packaged well & shipped FAST!!
dabuereto,2021,5, Great console (if you can get your hands on it)
Noah Y,2021,5, Next get console
Phylicia04,2020,5, Easy purchase!
Stefari,2021,5, Good Luck!
Amanda Garcia,2021,5, Thank god!
Huihui91724,2020,5, I love this console and the games are better choices.
Cody R.,2021,5, PS5 works great. 10/10
Trish,2021,5, Don’t believe the negative Reviews
Alicebroussard7,2021,5, Wow the difference between Ps4 and Ps5 is night and day glad i was able to grab one with no issues
Jonathon Schafer,2020,5, This is the Future of Gaming
marszciano,2021,5, Pure speed
Evan,2021,5, PS5 LOVE!!
angie,2021,5, Amazing (if you can get your hands on one)
Nelson E. Oles,2021,5, Sony PlayStation 5 review
Manuel Godoy,2021,5, Amazing PS5
Jason H,2021,5, Next-Gen is outstanding!
Jason Vargas,2021,5, AWESOME CONSOLE!
Lukas,2022,5, Very good
Alejandra Salazar,2021,5, Amazing!!
Hunter Meredith,2021,5, Great System
John Rosarda,2021,5, Amazing console. Amazon delivered very fast!!!
Owen Mitchell,2021,5, Good Gaming Console
Delio,2020,5, Glad I pre ordered in September.
Jakob,2021,5, The best game system yet.
Glenn,2021,2," can not sit on side, overheats, limited games as of 1/5/2021"
Linda Farrell,2021,5, I AM SO HAPPY!!!
Ravi Singh,2020,5, PS5 is a unique console.
Matthew P.,2021,4, Just received yesterday
Christopher Murphy,2021,5, Satisfied
Josh,2021,4, Really great system and a lot of room for improvement
Simon,2020,5, Must buy
Ken Compton,2021,5, Its one very nice machine.
jon,2021,5, Gaming
Jobin,2021,5, Great console
Tracy,2021,5, Great purchase
Meredith,2021,5, Husband pleaser!
Alexia,2021,5, Finally!
Peter Pahker,2021,5, Amazing Console
David Fernandez,2021,5, As Great As Advertised
damon harris,2021,5, Worth every penny to us
Mosep,2021,1, Worst release ever. Abysmal product support. PSN is broken garbage. Sony has no pride anymore?
Daniel Marrazzo,2021,5, Awesome.
Amazon Customer,2021,5, Worth the wait!
John Boyd,2021,5, PS 5 consul
Maverick,2020,5, Sony Has Done It Again!
LS 33 wraith,2021,5, It’s better than a XBOX
Jimmy,2021,5, Crazy fast load times!
Josue Condon,2021,5, Only thing that worked.
Jessica,2020,5, AMAZING!
Julia,2020,5, INCREDIBLE
Arun prasath,2021,5, Awesome
Britney G.,2021,5, WAIT FOR THE DROPS
De A.,2021,5, I couldn't believe I got one!!!
Meech Godlove,2021,5," Great console, extremely difficult to get, very worth it !"
Allan Membreño,2021,5, Muy feliz con la consola
Kalen Cunningham,2020,5, So far so great!
Codey Justin Fields,2021,5, Dont rush
samson23,2021,5, As expected
Gfx Designer/Gamer,2020,5, Thank You Amazon! Next Gen is Here
Husam,2021,4, Worth the money
David,2021,5, It’s great and quiet!
Jo,2020,5, Truly Amazing
Scott Wood,2021,4, PS5 order review.
Johanthan Burnette,2021,5, Fast!!
Justin V.,2021,5, Best purchase ever!
Amazon Customer,2021,4, Product is great
Orlando T.,2021,5, Omg... i love it.
Andy Doofon,2021,5, Amazing gaming device for such a good price
Chris Passerini,2021,5, I like my PS5!
Donald,2021,5, Great System
David Vasquez,2020,5, PS5!!
Jeremy Flanagan,2021,5, Came exactly as expected.
Amazon Customer,2021,5, Everything came as expected
Kindle Customer,2021,5, awesome
Amazon Customer,2020,5, Perfect condition
ZHUOSHENG ZHANG,2021,5, Very good experience
Jacks153,2021,5, My boys love it !
Leonard Qendro,2021,5, Incredible system
Amazon Customer,2020,5, Really is a next gen console!
Verified Purchase,2020,5, The perfect time killer in quarantine
Thomasbusacca,2021,4, 85% good 15% decent
Escoboy17's newphew,2021,5, Thanks Escoboy17! Awesome console.
Byron,2020,5, Big upgrade
Joseph Pavlik,2021,5," If you can get one at retail price, worth it."
Amazon Customer,2021,5, 5 Days Early!!!!
T. Caldwell,2020,5, PS5 is here!!!
adrian,2020,5, Awesome experience
Chabeli,2021,5, It’s the real deal
David,2020,5, Love it!
