User,Review Year,Ratings,Review
Silvio marte,2023,5, Buena consola
Jerry Hammster,2023,4, Great Experience
Kornkid93,2023,5, Love it
gianina cevallos,2023,5, Very happy with the product
jose,2023,5, Amazing
Amazon88972,2023,5," It's a switch, what else is there to say"
Paolo the Unitoonist,2023,5, I love this system
SD Cove,2023,4, Not as sturdy as Gameboys of old
Shawna C.,2023,5, 2nd try better than first!
Paul,2023,4, Pretty screen
"It was a perfect fit and looks very sleek in design. I won’t know if it seals well till it rains, but I love the light and brightness of the led’s. It looks well built, and have great expectations of it to work well.",2023,5, Works very good!
LIATA,2023,1, BUYER BEWARE: Nintendo Switch leaves MUCH to be desired
Mylena Lima,2023,5, Love it!!!!! Upgraded it from my Switch Lite :)
Tico_9816,2023,5, Excelente producto
JOEL ANDRADE,2023,5, Great!!!!
NOT PRODUCT RECEIVED,2023,5, Nice
Cami,2023,4, Love it!
Michael James,2023,5, Great screen!
Gabby,2023,5, Perfect
Justin Sanders,2023,5, Great product
Mariuxi Sanchez Azua,2023,5, Ok
pbl57lsu,2022,3, love it but im questioning support for the systems
Product Guru,2023,5, Nintendo Switch – OLED Model w/ White Joy-Con
Johnny Bravo,2023,5, I'm happy with this...
Red Jaq,2022,4, VERY nice… but essential?
PD,2022,5, Great customer service!
Ruta,2022,4, It’s authentic but from another country.
Dylan,2023,5," Good Price, Good Product"
Patrick Monninger,2023,4, Great product.
Wesley I.,2023,5, Great gaming system
Les,2023,5, Love it
IT-Lord,2022,5, The coolest most versatile console ever!
JOSE IVIO BURAGLIA FERNANDEZ,2023,5, Excelente
Arsen,2023,3, It looks poor and I will prefer to buy a cheaper standard edition instead of this splatoon edition
Zakkary Cains,2022,4, Check to make sure you get the right wall plug
genne souvannasane,2022,4, Work so so
DeAnna,2022,4," Very nice device, sleek look 👌"
Sleepyeti,2022,5, Love it!
Darkendone,2022,4, Nintendo at its best-ish
Cristian Wu,2023,4, Good but it the JP version so be careful buyer
Jaidath Maharaj,2023,5, EXCELLENT
Kaizoku,2023,3, Japanese Version
taneishaskiitles,2023,5, Gift to daughter
Chuck,2023,5, OLED IS GREAT
JayBird,2023,5, I love this
Dawn Franklin,2023,4, Love it
wendy naylor,2023,5, Was shipped with wrong power AC Adapter
Aaron Torres,2023,5, Awesome
Amazon Customer,2023,5, Nintendo switch oled
oliver c holmes,2023,5, Descent
Byleth Ethan,2023,3, Good console. One frustrating bug
Janice Kelly,2023,4, Christmas gift
VIVIDSTORM Customer support,2023,5, The best partner for my 120inch Rollable Laser TV
C. Lee,2023,3, Design only. Does not come with game.
Michele,2022,5, Easy install and transfer
J. Tant,2021,5, Economics meets the Switch
Jennalyn,2023,4, Good purchase
Aaron Sako,2022,5," Unexpectedly spectacular, underrated upgrade from original"
Jasper,2022,5, Awesome portable game system...
Daniel Wells,2023,5, Great family fun
Caroline Moniz,2023,5, Amazing
Justin W,2023,5, Amazing
Jared/Jessica Patterson,2023,5, Great as great
Kindle Customer,2023,5, it is easiest gaming platform for a kid to use
Drredskin,2023,5, New system decent price
Jacob H.,2022,5, Awesome
Kallie Bosen,2023,5, Splatoon OLED switch
Amazon Customer,2022,4, uhhh it came exactly how i was hoping except.....
Felipe Palacio,2023,5, La rapidez de envío. Me llego muy rápido.
Kesich Family,2022,5, Best Gaming System Fir Kids and Adults!
Shanno STM,2023,5, WORKS GREAT
DJ,2022,5, Best limited edition switch console
Amazon Customer,2023,2, DO NOT BUY IF YOU ARE IN THE U.S!!! Please read!!
Sam,2023,5, 5 STARS
Ludicracy,2023,3, Be careful when purchasing
Paola,2022,4, nuevo o usado?
Robinson Alava,2023,5, Perfecto estado y nuevo
Skakilia,2023,5, It's a Switch
ceharris,2022,4, Interesting device
LUIS,2023,4, buen producto
Chuck,2022,4, Nintendo made a versatile game station
Cyanne Tate,2022,5, Amazing!
Sharon Tuck,2023,5, Perfect
James,2022,5, Definitely an upgrade
Jamel Jones,2023,4, Not linking to internet
abby,2022,5, Vast Improvement for Handheld Players
Eliane Dethling carvalho da silva,2022,5," great product, just received, all ok"
Randy Everson Jr.,2022,5, Great for the kid
Ricardo,2023,3, El cartón me llego como que estuviera usado.
amit spector,2023,5," Came on time , wow my son is excited!"
Hunter,2022,5, Nice upgrade from the first Switch!
Guadalupe M Gallegos,2022,5, Im just saying yea I love shipping so much
destiny gonzalez,2023,5, Bf loves it
Brian H.,2023,5, Very good but broke because of my mom
ML,2023,5, Works great and love the screen
Cecilia Rivas,2023,5, It came 3 DAYS early 🥳
Xiufang ouyang,2023,5, Great Gift
KingTeddy,2023,5, Awesome
Derik and Mae,2022,4, We just love it
Ayden,2022,5, Better than expected?
Christopher Govindan,2023,5, Better Screen and Battery Life
aghia lockridge,2022,5, American buying a foreign Switch model.
Sonja in Idaho,2022,5, Great gaming system!
IckyStyx,2022,5, I'm glad I upgraded!!
Nir azran,2023,5, A+
FilmComposer,2022,4," Wow a cool device, but…"
Dan,2022,5, Love the new screen!
Richard,2023,5, Excelente vendedor
Nubbins,2023,3," It's a nice system, but..."
Jenn,2022,5, Perfect!!
Matthew W.,2023,5, Fun
Dusk Shadow,2022,5, It's so fresh!
Michael C.,2023,3, Too expensive for what it is
Goose,2023,3, Great system
Welsper59,2021,5, An improvement over the original
Josephine,2022,5, OLED
Krisandra,2023,5, Awesome product
Yesenia,2023,5, My baby girl
Luisangel Perez,2023,5, Exelente producto
Sarah Hufstetler,2022,5, Awesome!
Jill,2023,5, Great
Amazon Customer,2023,5, Grandson loves it
Rohanne Beckles,2022,4, I love the Switch was my daughter
Amazon Customer,2023,5, Christmas Present
albert benavides,2022,5, Best upgrade ever!
Customer UNK,2022,5, NINTENDO Forever
Tbearuz,2023,5, Great
Cheyenne,2023,5, Perfect
Samantha,2023,5, Everyone digs it.
Jenny,2022,4, Beginner Switch User Here
Dylan,2023,5, Love it
Jay,2023,5, GREAT Gaming System !!
Nate Harris,2022,5, So far so good!
Amazon Customer,2023,3, Buyer beware!
Isaac,2022,5, Woomy
Joseph H. Stefanoski,2023,5, Cool
Tom Fournier,2023,5, I love my switch!
J. Huff,2022,4, Pricey but worth it.
Spectre,2023,2, I guess I wasn't meant to get a new switch.
Dellyann,2022,5," Really love this game set, I got this for my daughter as a Christmas gift and she loves it so much"
Darcie Wertz,2022,5, Wonderful and above snd beyond
JMAC,2022,5, Time to Switch Up
Chris Rexing,2022,5," What's to say, it's a Nintendo"
Judy Rogel,2022,5, Loved my Nintendo Switch!
Ivan Martinez,2022,5, Great purchase
CheriAmouri,2023,5, Great
Nikki Britt,2022,5, Lots Larger screen
Matt,2022,5, Excellent game console
Haley Jean Mercedes Mullins,2023,5, Perfect
Prietin ,2023,5, Must buy
Domingo Barraza,2022,5," My son was so happy, priceless."
roxanne white,2022,5, Great customer service
That0n3guy,2023,5, Freaking Sweet
Wyatt,2023,2, Overpriced games/accessories + crappy hardware
Gitmo,2023,3, OLED switch came with the wrong AC charger
Emmanuel Ramirez,2022,5, It’s Switch OLED with more color Screen & extra more revision.
Jan Algarin,2022,5, The OLED display is very vibrant
Christian Hall,2022,5, The screen is amazing!!
Robert Santiago,2022,5, JUST BUY IT!
S.Grover,2023,5, Loved this as a gift
Court n Izzy,2022,5, Impressive Screen Size
Jeffrey,2022,5, Excellent handheld console!
Chad lyda,2022,5, Very awesome
Amazon Customer,2022,5, Great design + Good upgrade!
Kenny,2022,4, They delivered to wrong address smh
Dayna,2022,5, I’m in love
Amazon Customer,2023,3, Got a European Plug
Francisco Rodriguez,2023,5, Producto de excelente calidad
Corbin McBride,2022,3," It's not a Playstation or Gaming PC, but it's the best portable option."
Shakira B,2022,5, Love this!
Diana,2022,5, Buen entretenimiento
Pamela E.,2023,3, so far so good but not the right adapter
Ashlee Lemmon,2023,5, good product
Stacy,2023,5, Husband😎 loved it
Nathaly,2022,5, Super mejorado
Rodrigo F.,2022,5, Lo compre y esta bello
Jose Jauregui,2023,5, Great stuff
Tyler Lewis,2022,4, As close as a switch pro as you'll get
marisela mendoza,2022,5, Love it so much!
Kristi Ware,2022,5, So good so far
NightSpirit01,2022,4, Mmm Ok?
Regina R.,2023,3, Arrived scratched :(
Blake Tomczak,2023,2," Defective AC Power Adapter, Nintendo Won't Help Without Acrobatics"
Amazon Customer,2023,5, 👍
Delores Dillon,2022,5, Best purchase yet
Karsten,2022,4, Nintendo Oled
Robin Dill,2022,5, Amazing
Amazon Customer,2022,5, Fast delivery and everything is good.
Omar aboufakher,2022,5, Best Acquisition ever
Bryan Gardner,2023,3, Not the usa version
Butch,2022,5, Prefect
Craig,2023,3, Singapore?
Guillermo E,2022,5, Excelente producto
michael c cunningham,2022,5, thanks
Voxy,2023,3, UK plug NOT a US plug
Tanisha,2022,5, My son's favorite
M. Galenko,2021,5, Small but mighty addition to my white console collection
eric,2022,5, Nice price for me
Don,2022,5, Delicious Screen
Rachi♥️,2022,5, Nintendo Switch OLED 💜
connie,2022,5, AMAZING!!!!!
annmarie3013,2023,3, does not come with a standard US plug meant for sale in Japan
Nina,2022,5, Life sucks but the Switch doesn't.
Kaitlynn White,2022,5, Super awesome console
Melanie,2022,3," AC Adaptor does not work, cant connect to TV"
DK,2022,5, great gift
Rachel Suarez,2022,5, Works great
Patricia,2022,5, The chanrhing port broke after 5 or 6 months. Now can't play with other people
Quintell Allen,2023,3, Not as Pictured/Described
Glubtastic,2022,5, Worth the money!
C.N.,2022,3, It's been 6 months and the joycons are still working. iykyk
Alexandra French,2022,5, The best switch
Naomi,2022,5, Best Switch Console So Far!
CRosario,2022,5, Excellent
Adam Johnson,2022,3, Wrong charger.
Armando Heredia,2023,3, Algo decepcionado
Fernando,2022,5, Good
Leonhardt Kamari,2022,5, Excellent service…I received the product earlier than anticipated.
Trenton Vonderscheer,2022,5, Nice Upgrade
Heath Carnicom,2022,5, Sexy as could be!
Amazon Customer,2022,5, OLED switch makes a difference
Malcolm,2021,5, A Worthy Upgrade!
Ashley,2022,5, Love it
M Thompson,2022,5, It’s awesome
Jerrbear,2022,5, Gets more fun as more old games are added
Daniel Urban,2022,5, Freshest Switch edition so far!
Amazon Customer,2022,5, Beautiful switch
alyssanevermore,2022,5, So sleek
KC Carothers,2023,3, CHARGER FOR EAU - Be warned
Nancyy V,2022,5, Worth it
Leeroy Jenkins,2022,3," Only buy OLED, Only by WhiteCons, never pay more $350.00 and always buy Ship & Sold by Amazon"
Morgan Floyd,2023,3," Singapore, and wrong color...works great!"
Nicholas,2022,5, Very fun
August West,2022,5, Best console on the market
Milagro U.,2022,5, Great! Its all new
GloomyGæmer,2022,5, Amazing best gaming console I own!
OW,2022,4, Great!
Jennifer Ramirez,2022,5, Nintendo Out Did Themselves!
Samiul Haq,2022,5, Get this switch if you don’t know what to pick
Rachael,2022,5," I love it, I love it."
Alyssa Walker,2022,5, An Awesome Upgrade!
Luis cuellar,2022,5, Muy efectivo al comprar
Lacie,2022,5, Not outrageously overpriced!
wblisspd1114,2022,5, there's no reason not to upgrade- especially if you mainly play handheld
Raxel R.,2022,4, Far better then the Original
Andres Torres,2022,5, Loved my new Nintendo Switch
Patrick J.,2021,5, Worth it if you play handheld more than docked
Soul Sword,2022,5, It has 3 screen protectors in place already!
Alissa,2022,5, super happy with the OLED!!!
Rebecca Cortes,2023,3, Wrong charger
Steve Deignan,2022,5, They last longer provided they are not thrown around
K & D,2022,5, 5 Stars All Around
edward,2022,5, switch lite to OLED model is great upgrade
Jaw,2022,5, Looks even better in person!
Laina S,2022,5, Great if you don't have a Switch
Shawn brough,2022,5, A lot of fun
Sandra vaca,2022,5, Its worth!
G,2022,4," The switch is great! Joycons, not so much.."
Daniel Bryant,2022,5, Awesome!!
Savannah Harris,2022,5, everything I wanted
Tom Funke,2022,5, OLED Nintendo Switch
Amazon Customer,2022,5, Happy to have finally gotten one
Camille Assang,2022,4, Good buy
mono★,2022,5, Everything I had hoped for
scarrol,2022,5," Fun for 10 year olds, that are NOT addicted to PS games."
Katherine Ibarra,2022,5, Last Minute Purchase
GLM,2022,3, Missing AC ADAPTER
RC,2022,5, I was Hesitant but so Glad I Bought it!! :-)
Charlesoh Adams,2022,5, good gift for kids
Corey,2022,5, Great device
Amazon customer,2022,5, Love it
Lamieka Gordon,2022,5, Endless fun!!!
Tes,2022,3, Perfect Xmas gift
Edsha,2022,5, My first game console. Love it!
Axell Raphael Parada Amaya,2022,5," Buen artículo, cargador americano!"
Chad k,2022,5, The oled screen is wonderful
Keenan,2022,5, Best Switch yet
Buffy Baer,2022,5, The best console for all ages.
trentj71,2022,5, Love this console
Angel,2022,5, Big difference in the screen
Grammas in NY,2023,3, Came with Wrong Adapter/Charger
David Gomez,2022,5, Nintendo
Tristan Phillips,2022,4, Something was a bit off…
L,2022,5, Totally worth it
John Coates,2022,2, Not intended for normal hands
Jenn Sierra,2022,5, Amazing console!
charo,2022,5, Thank you
Alisha,2022,5, Bigger
Amazon Customer,2022,5, Absolutely amazing.
Bobby Amerson,2022,5, Came quick
Preston,2022,5," Works great, very nice sleek design."
Owen Schuler,2022,5, Better than expected
Aaron Thompson,2023,2, Nintendo issue not an amazon issue
George from Colorado,2022,5, Can Use TV screen
Late Night Insomnia,2022,5, Great console
Miguel Angel Jerez,2022,5, Compra perfecta sin incovenientes
Carlos Giron,2022,5, Beautiful
Steve P.,2022,5, Significant Upgrade from Original
Michael Couture,2022,5, Debating?
Marivel Estrada,2022,5, Great upgrade
Alize,2022,5, Credit where Credit is Due
Edmundo,2022,5, Massive upgrade over old switch
Kris,2022,4, After a Year
Kenye,2022,5, Went Used as a pimp-decision. Did not regret it at all.
yellow,2022,5, beautiful console
L.A. Brito,2021,5, OLED looks so nice
Craig,2021,5," For what the switch is, it’s great."
gilbert,2022,5, Splatoon 3 Edition
Phillip Keith,2022,4, Slight upgrade but worth it for me
cory,2022,5, Like it worth the money
Elias López,2022,5, Los colores y la portabilidad
Jertez Andrews,2022,4, it's interesting
Andrea,2022,5, Best looking pled switch out there!
Tejay Hill,2022,5, Works great
Anthony Wright,2022,5, Great upgrade
Christian Oconnell,2022,4, Came with a foreign power cord but other than that everything was perfect.
forest fredrick,2023,2, Package
Liz,2022,5, Nice size
Luis Chavez,2022,5, A great console
Ethan Ewers,2022,5, Fun
Schloopiesq,2022,5, My son loved it. Thank you
jerrell,2022,5, It's legit
Vinnie,2022,4, Is this from the UK?
Jonathan,2022,5, Muy bueno
eric.metcalfere,2022,4, Better but still not perfect
Ryan P.,2022,3, Good screen but not a better Switch
glitterpunkin,2022,5, It's beautiful! 😍
juvenal,2022,5, Best limited Edition so far
brian soares,2022,5, Looks great
Erik Clovis,2022,5, BEST LOOKING OLED SWITCH!
MkUltra,2022,4, Good but could have been great!
Miranda,2022,5, Just What I Wanted
Jeremy Pierce,2022,5, The best portable game system I have ever played
David Watson,2022,5, Loads of fun
Carmen Ledesma,2022,4, My son loves it
Cesar,2022,5, Excelente producto lo recomiendo
Jack B.,2022,5, What Nintendo should have done at launch.
Annekay Patterson,2022,5, Love it
jaszyboo,2022,5, Legit
MA. SOFIA,2022,5, FUE UN REGALO
Mia,2022,5, Absolutely perfect
paula,2022,5, Nintendo switch
Memories,2022,5, Nintendo Switch the Best Console on the market now.
CodyandMelissa,2022,5, Amazing
SickBoy071,2022,5, You know what your getting and it’s coming to your doorstep
Verified Customer,2022,5, Good game console.
R. Eavenson,2022,5, Awesome!
rodrigo Javier oviedo,2022,5, Bacan
Eduardo Paoli,2023,3, Bueni
Scarlet Delp,2022,5, Love it
Emilio,2022,5, Best special edition design to date.
Marissa Ley,2022,5, First Switch
Dragonflame771,2022,5, Just to have one for myself. and the difference on the screen is a Wow!
Kate Powell,2022,5, Amazing Product!
Timothy Fetters,2022,5, Fantastic console
Kendra,2022,1, Charging doc left joystick wiggly
Gilsson Figueroa,2022,5, Oled display
BP-JP,2022,5, Best switch yet!
Keyla,2022,5, Worth the money
dAnie,2022,5, Works as intended
Isaac Perez,2022,5, NINTENDO KILLED IT ! ⭐️
Ali Ashraf,2022,5, Better than my PS5
Benjamin Lee,2022,4, Nintendo's best right now.
Nazrac,2022,5, Better than I thought
STEVENSON JULMEUS,2022,5, I’m glad I got one
J of AV,2022,5, Another great product from Nintendo!
Anthony Mendoza,2022,5, Amazing looking console
Anon,2022,5, Looks great and feels great
Alicia,2022,3, Great Switch....dock not so much...
Selamawit O.,2022,5, Better quality images
Amazon Customer,2022,5, Semi-upgrade
Bethany,2022,5, Love!
cristina bacalao,2022,5, Llegó en perfecto estado
derek hamburg,2022,5, It's a switch
Amazon Customer,2022,4, Arrived on time
Aaron Caselman,2022,5, Worth it in handheld
Elijah Thompson,2022,5, Love it! I highly recommend getting a screen protector though
Tony Tran,2022,3," Good console, bad Nintendo anti-consumer"
Oscar Monzon,2022,5, La nintendo llegó menos tiempo de lo establecido
Sam,2022,5, Amazing
Broke Bish,2023,2, Charger doesn’t last
Sluggo,2022,5, Slick and now readily available at The Retail price!
Barbara Mitchell,2022,5, Nintendo oled
Jay,2022,5, Great for those who prefer to play handheld
Khori Ferguson,2022,5, Great product. Super fast delivery.
The Dave Black,2022,5, The OLED is nice!
Polly pocket,2022,5, Real Deal
Marisabel Guevara,2022,5," Excelente pantalla, cómodo de usar"
Jaybriel,2022,5, This is literally awesome!!!
HiddenName,2022,5, Mostly PC Gamer
April,2022,5, Really good play station
Matias Paciulli,2022,5, Calidad
Son of rah🌞,2022,5, My kid loves it
Arianna,2022,5, Buy
Patricia sánchez,2022,5, Excelente
Tee,2022,5, Best Gift To Get.
David Reznor,2023,2, Sad
Rudi Tanto,2022,5, Great quality
Chris,2022,5, Better than version 1.
Amazon Customer,2022,4, Already opened?
MC,2022,5, If you want one get one
Rustyn,2022,5, Nintendo powered
Amazon Customer,2022,5, beautiful
Delaney,2022,5, So much better!
Amateur shopper,2022,5, Why Nintendo? Why do you toy with my emotions and wallet?
Nicholas Alvarado,2022,5, I really liked my new oled switch
Scott,2022,5, Everything there and in good condition.
Paul A. Vincent,2022,5, OLED Switch is Grrreat!!!
Roy A. Castillo,2022,5, Great if you primarily play in handheld mode
Austin B.,2022,5, Way better sound quality and battery
Cory D. Wilson,2022,5, Great for handheld gamers
Dosis-Dei,2022,5, Really nice joycons💜💚
Anthony Mendoza,2022,5, this oled switch looks good
B. George,2022,5, Just what I’ve been waiting for!!!!
Matthew Jones,2022,5, Exactly what I expected. Sealed in the box. Fully functional.
Ben Gower,2022,4, Excellent
Gwen,2022,5, Love it
Christian Martinez,2022,5, The OG Switch has nothing on this.
Bubbagump123,2022,5," Bought this used 'Acceptable' from Amazon, not sure if I just got lucky but this thing is Like New!"
truthhurts,2022,5, cant believe I scored one!
Cameron,2022,5, Basically the most interesting system
joshua,2022,5, So much fun
Abdurrahman,2022,4, Good console
Van,2022,5, Fun for family!
Logan D.,2022,5, Good console for good price
Vantes,2022,5, Daily Handheld Used
Harrison Mevis,2022,5, Great video console!
David J. Varlotto JR,2022,4, This is the Switch to buy in 2022
Someone who bought something,2023,2, Not as advertised
Domingo jimenez,2022,5," Easy to use, light, fast processing video and audio very good quality."
Owen Pierotti,2022,4, I got the wrong charger but everything else good
Luis Jaime,2022,4, Amazing System
Katarina,2022,5, Love it!
Jeana Stuart,2022,1, Broke after two uses
Zachary Usher,2022,5, Love this Device
Fiyero,2022,5, Looking great! Just don’t pay a scalper.
Amazon Customer,2022,5, Really clean and new
BDiaz,2022,5, Much better system on all fonts!
Charlene,2022,4, Satisfied
Joe,2022,3, Warranty is a joke
Edgar,2022,5, Perfect
Jordan Mahoney,2022,5, Amazing console
Naldo,2022,5, Nice investment
A. Perkins,2021,5, To All The OLED Non-Believers
Necroweaver,2022,2, A good system with bad form monetization and expensive everything
Sylvia Winstead,2022,5, No Brainer
Virginia agra,2022,5, Perfect
Susan,2022,5, Best thing ever
Royal to Amazon8852,2022,5, Really like it.
Muhammad,2022,5, Really like it
Silvana Silva,2022,5, Best videogame for all ages !!!!!!!
luis fernando repreza aguilar,2022,5, Dinamico
paul c single,2022,5, Screen very shmexy like shrek
Ernesto Marquez,2022,4, Funcional
Sandra,2022,5, Great product
Leonardo,2022,5, Nice to play with
Aqil Mokhtar,2022,5, One of the best things I’ve bought
adrian b,2022,5, Perfect for the gamer on the move
Denise A. Carlson,2022,4, We did not get a plug that works in the USA.
Christopher Colmenarez,2022,5, 10/10 Great
Amazon Customer,2022,5, really good
SNB,2022,5, Holy Cow
Emperor,2022,5, Legal Splatoon Special Edition
CHIZZY-X,2022,5, Fantastic
Grace Catherine,2022,5, Do it
Christopher Terrill,2022,5, Perfect
Kassandra Cortez,2022,5, Great console
Rex B.,2022,3," Good On Its Own, Even Better When Docked"
Brandon Ta,2021,4, Not much difference from previous model
Matt B.,2022,4, Great if you play it in hand-held mode a lot
jeni made,2022,5," excellent product. It arrived totally original and totally new, recommended purchase.👌🏻"
Jonah Ottley,2022,5, A switch OLED indeed
Kimberly Nichols,2022,5, Amazing Screen
KEVIN DAVID CHIMBO ORTIZ,2022,5, Nintendo Switch
Cory,2022,5, It’s a switch!!
Veronica Padillas,2022,5," good grip, big screen"
John,2022,5, Cool Design
Emilio,2022,5, best switch hands down
Gray,2022,3, Not a new item
Obi Rob,2022,5, Worth every penny
Edward,2022,5, Epic New Switch OLED
Randy J.,2022,5, The best way to play your Switch games on the go.
Paloma,2022,5, Lots of fun
Rachael heil,2022,5, Cute
Mr.DaddyManAlpha,2022,5, Nice!!
M. Sommer,2022,5," Amazon Warehouse ""Good"" Deal Just About Perfect"
Fanny,2022,5," Good on retail price, don’t buy from scalpers."
Rashad,2022,3, Happy and sad
"Loryn A., Dahlen",2022,5, Amazing and fun
AK22,2022,5, Worth the purchase
Eduardo Mendoza Valle,2022,4, Love it!
Matt,2022,3, Joycon Drift
Lunaxel,2022,4, Doesn't really fit the dock.
VC,2022,5, Everything is what my daughter want
Zoey,2022,3, Great
stephine mccoy,2022,5, A Long-Awaited Upgrade
Amazon Customer,2022,5, Ok
Martin Lewis,2022,5, Great console better and improved
Kelly Russo,2022,5, Great picture and amazing sound
Brendan,2022,5, Must Have for Handheld Mode Users
sen,2022,5, exactly how it looks !
Menniel Olivencia,2022,5, Found one when there were none
oscar diaz,2022,5, Family Fun
incredibleG,2022,5, A great console
Daniel B. Reed,2022,5, Cool game system
Brandy Shirley,2022,4, Awesome!
Saumya,2022,5, Yes
Hilario A Torres,2022,5, After being inactive in the gaming world
NY,2022,5, Great product
Malik Williams,2022,5, Honestly glad I finally got it
Tammy,2022,5, Live the screen
Debra,2022,5, My Switch
tfturtle,2022,5, Great upgrade
Travis Julian,2023,1, This model will not work in the United States
Jenna H.,2022,5, Amazing upgrade
Freelance,2022,5, Awesome fun.
Enrique G,2022,5, BE PATIENT AND DON’T BUY FROM SCALPERS
Andrew,2022,5, Dad can't put it down.
Pasquale F.,2022,5, A great portable fun
Lauren Faller,2022,5, Switch upgrade
bcas400g,2022,3," Nice screen,but that's all"
P.S.,2022,5, It is not the switch pro but…
Michelle B.,2022,5, It's Great!!!
R,2022,5, Perfect!
Tony R.L.,2021,5, Upgraded from a switch 1.0
Willie J Walker,2022,5, My niece loves the game system. I am number 1 Uncle
Kaeden Van Roosendaal,2022,5, Best console ever!
